Time,value
10-09-2021 06:01,0.0220
10-09-2021 06:06,0.0220
10-09-2021 06:11,0.0220
10-09-2021 06:16,0.0210
10-09-2021 06:21,0.0210
10-09-2021 06:26,0.0200
10-09-2021 06:31,0.0190
10-09-2021 06:36,0.0230
10-09-2021 06:41,0.0220
10-09-2021 06:46,0.0220
10-09-2021 06:51,0.0280
10-09-2021 06:56,0.0250
10-09-2021 07:01,0.0310
10-09-2021 07:06,0.0390
10-09-2021 07:11,0.0390
10-09-2021 07:16,0.0280
10-09-2021 07:21,0.0370
10-09-2021 07:26,0.0380
10-09-2021 07:31,0.0260
10-09-2021 07:36,0.0810
10-09-2021 07:41,0.0460
10-09-2021 07:46,0.0290
10-09-2021 07:51,0.0290
10-09-2021 07:56,0.0270
10-09-2021 08:02,0.0320
10-09-2021 08:07,0.0270
10-09-2021 08:12,0.0270
10-09-2021 08:17,0.0270
10-09-2021 08:22,0.0310
10-09-2021 08:27,0.0280
10-09-2021 08:32,0.0300
10-09-2021 08:37,0.0310
10-09-2021 08:42,0.0420
10-09-2021 08:47,0.0280
10-09-2021 08:52,0.0270
10-09-2021 08:57,0.0270
10-09-2021 09:02,0.0280
10-09-2021 09:07,0.0220
10-09-2021 09:12,0.0230
10-09-2021 09:17,0.0230
10-09-2021 09:22,0.0220
10-09-2021 09:27,0.0290
10-09-2021 09:32,0.0290
10-09-2021 09:37,0.0280
10-09-2021 09:42,0.0270
10-09-2021 09:47,0.0790
10-09-2021 09:52,0.0450
10-09-2021 09:57,0.0270
10-09-2021 10:02,0.0240
10-09-2021 10:07,0.0230
10-09-2021 10:12,0.0240
10-09-2021 10:17,0.0220
10-09-2021 10:22,0.0220
10-09-2021 10:27,0.0260
10-09-2021 10:32,0.0270
10-09-2021 10:37,0.0280
10-09-2021 10:42,0.0220
10-09-2021 10:47,0.0250
10-09-2021 10:52,0.0270
10-09-2021 10:57,0.0280
10-09-2021 11:02,0.0290
10-09-2021 11:07,0.0340
10-09-2021 11:12,0.0220
10-09-2021 11:17,0.0220
10-09-2021 11:22,0.0220
10-09-2021 11:27,0.0220
10-09-2021 11:32,0.0290
10-09-2021 11:37,0.0210
10-09-2021 11:42,0.0210
10-09-2021 11:47,0.0280
10-09-2021 11:52,0.0220
10-09-2021 11:57,0.0220
10-09-2021 12:02,0.0230
10-09-2021 12:07,0.0280
10-09-2021 12:12,0.0240
10-09-2021 12:17,0.0220
10-09-2021 12:22,0.0270
10-09-2021 12:27,0.0270
10-09-2021 12:32,0.0230
10-09-2021 12:37,0.0770
10-09-2021 12:42,0.0400
10-09-2021 12:48,0.0270
10-09-2021 12:53,0.0270
10-09-2021 12:58,0.0210
10-09-2021 13:03,0.0220
10-09-2021 13:08,0.0230
10-09-2021 13:13,0.0230
10-09-2021 13:18,0.0230
10-09-2021 13:23,0.0270
10-09-2021 13:28,0.0240
10-09-2021 13:33,0.0280
10-09-2021 13:38,0.0270
10-09-2021 13:43,0.0220
10-09-2021 13:48,0.0210
10-09-2021 13:53,0.0220
10-09-2021 13:58,0.0210
10-09-2021 14:03,0.0260
10-09-2021 14:08,0.0300
10-09-2021 14:13,0.0220
10-09-2021 14:18,0.0250
10-09-2021 14:23,0.0220
10-09-2021 14:28,0.0230
10-09-2021 14:33,0.0280
10-09-2021 14:38,0.0260
10-09-2021 14:43,0.0210
10-09-2021 14:48,0.0690
10-09-2021 14:53,0.0430
10-09-2021 14:58,0.0330
10-09-2021 15:03,0.0270
10-09-2021 15:08,0.0230
10-09-2021 15:13,0.0220
10-09-2021 15:18,0.0220
10-09-2021 15:23,0.0220
10-09-2021 15:28,0.0230
10-09-2021 15:33,0.0230
10-09-2021 15:38,0.0220
10-09-2021 15:43,0.0230
10-09-2021 15:48,0.0220
10-09-2021 15:53,0.0220
10-09-2021 15:58,0.0300
10-09-2021 16:03,0.0220
10-09-2021 16:08,0.0220
10-09-2021 16:13,0.0220
10-09-2021 16:18,0.0230
10-09-2021 16:23,0.0200
10-09-2021 16:28,0.0230
10-09-2021 16:33,0.0220
10-09-2021 16:38,0.0220
10-09-2021 16:43,0.0220
10-09-2021 16:48,0.0220
10-09-2021 16:53,0.0230
10-09-2021 16:58,0.0230
10-09-2021 17:03,0.0230
10-09-2021 17:08,0.0270
10-09-2021 17:13,0.0270
10-09-2021 17:18,0.0230
10-09-2021 17:23,0.0280
10-09-2021 17:28,0.0260
10-09-2021 17:33,0.0280
10-09-2021 17:39,0.0280
10-09-2021 17:44,0.0320
10-09-2021 17:49,0.0880
10-09-2021 17:54,0.0520
10-09-2021 17:59,0.0300
10-09-2021 18:04,0.0510
10-09-2021 18:09,0.0230
10-09-2021 18:14,0.0220
10-09-2021 18:19,0.0280
10-09-2021 18:24,0.0270
10-09-2021 18:29,0.0220
10-09-2021 18:34,0.0260
10-09-2021 18:39,0.0280
10-09-2021 18:44,0.0240
10-09-2021 18:49,0.0280
10-09-2021 18:54,0.0270
10-09-2021 18:59,0.0220
10-09-2021 19:04,0.0220
10-09-2021 19:09,0.0280
10-09-2021 19:14,0.0230
10-09-2021 19:19,0.0320
10-09-2021 19:24,0.0230
10-09-2021 19:29,0.0220
10-09-2021 19:34,0.0210
10-09-2021 19:39,0.0230
10-09-2021 19:44,0.0290
10-09-2021 19:49,0.0290
10-09-2021 19:54,0.0270
10-09-2021 19:59,0.0280
10-09-2021 20:04,0.0280
10-09-2021 20:09,0.0230
10-09-2021 20:14,0.0230
10-09-2021 20:19,0.0220
10-09-2021 20:24,0.0730
10-09-2021 20:29,0.0460
10-09-2021 20:34,0.0340
10-09-2021 20:39,0.0280
10-09-2021 20:44,0.0220
10-09-2021 20:49,0.0230
10-09-2021 20:54,0.0230
10-09-2021 20:59,0.0220
10-09-2021 21:04,0.0210
10-09-2021 21:09,0.0220
10-09-2021 21:14,0.0230
10-09-2021 21:19,0.0230
10-09-2021 21:24,0.0210
10-09-2021 21:29,0.0320
10-09-2021 21:34,0.0380
10-09-2021 21:39,0.0360
10-09-2021 21:44,0.0270
10-09-2021 21:49,0.0290
10-09-2021 21:54,0.0280
10-09-2021 21:59,0.0270
10-09-2021 22:04,0.0290
10-09-2021 22:09,0.0260
10-09-2021 22:14,0.0240
10-09-2021 22:20,0.0230
10-09-2021 22:25,0.0270
10-09-2021 22:30,0.0280
10-09-2021 22:35,0.0310
10-09-2021 22:40,0.0270
10-09-2021 22:45,0.0330
10-09-2021 22:50,0.0290
10-09-2021 22:55,0.0270
10-09-2021 23:00,0.0270
10-09-2021 23:05,0.0260
10-09-2021 23:10,0.0280
10-09-2021 23:15,0.0800
10-09-2021 23:20,0.0580
10-09-2021 23:25,0.0380
10-09-2021 23:30,0.0290
10-09-2021 23:35,0.0280
10-09-2021 23:40,0.0260
10-09-2021 23:45,0.0220
10-09-2021 23:50,0.0210
10-09-2021 23:55,0.0220
11-09-2021 00:00,0.0230
11-09-2021 00:05,0.0220
11-09-2021 00:10,0.0260
11-09-2021 00:15,0.0230
11-09-2021 00:20,0.0260
11-09-2021 00:25,0.0260
11-09-2021 00:30,0.0390
11-09-2021 00:35,0.0400
11-09-2021 00:40,0.0300
11-09-2021 00:45,0.0650
11-09-2021 00:50,0.0700
11-09-2021 00:55,0.0530
11-09-2021 01:00,0.0380
